Student ID,ACT MAJ,Active Programs,Term,Course Name,Section Name ,Current Status,MIDTERM GRADE,Final Grade,Verif Grade,Cmpl Cred,Faculty Last Name,M89 Stu Recent Math Placement ,CMPL CREDS UG,Degree,Degree Desc,Majors,Major,Date**
675582,,,08/FA,MA-105,MA-105-08,N,C,C,C,3,Swartz,MATH.1,133,BS,Bachelor of Science,BUBK,Business Administration,1/1/2012
675582,,,10/SP,MA-117,MA-117-02,N,C,C,C,3,Wacha,MATH.1,133,BS,Bachelor of Science,BUBK,Business Administration,1/1/2012
675582,,,10/SE,MA-118,MA-118-E01,N,,B,B,3,Dann,MATH.1,133,BS,Bachelor of Science,BUBK,Business Administration,1/1/2012
454442,,,01/FA,MA-050,MA-050-Q3,N,B-,C-,C-,0,Bellisio,MATH.1,28,,,,,
1045485,,,16/SP,MA-050,MA-050-02,N,B,B+,B+,0,Anderson,MATH.1,56,,,,,
1045485,,,16/FA,MA-105,MA-105-01,N,NR,B,B,3,Moreland,MATH.1,56,,,,,
807089,,,10/FA,MA-050,MA-050-01,N,C-,C-,C-,0,Ralli,MATH.1,130,BA,Bachelor of Arts,PY,Psychology,5/1/2014
807089,,,11/SP,MA-105,MA-105-06,N,C+,C+,C+,3,Wacha,MATH.1,130,BA,Bachelor of Arts,PY,Psychology,5/1/2014
599094,,,07/FA,MA-050,MA-050-50,N,A,A,A,0,Bodner,MATH.1,146,BA,Bachelor of Arts,HS,History,5/1/2009
,,,,,,,,,,,,,,,,EDM,Education - K-8,
599094,,,08/FA,MA-203,MA-203-02,N,B+,A-,A-,3,Allen,MATH.1,146,BA,Bachelor of Arts,HS,History,5/1/2009
,,,,,,,,,,,,,,,,EDM,Education - K-8,
