New iD,Active Majors,GPA UG Cum,Reporting Year,Term,Course Name,Current Status,Verif Grade,M89 Stu Recent Math Placement 
810340,,2.747,0,,MA-050,NC,,MATH.4
810340,,2.747,0,,MA-101,NC,,MATH.4
810340,,2.747,0,,MA-109,NC,,MATH.4
810340,,2.747,0,,MA-115,NC,,MATH.4
810340,,2.747,2010,10/FA,MA-125,N,C+,MATH.4
1112239,,3.583,0,,MA-050,NC,,MATH.4
1112239,,3.583,0,,MA-101,NC,,MATH.4
1112239,,3.583,0,,MA-109,NC,,MATH.4
1112239,,3.583,0,,MA-115,NC,,MATH.4
1112239,,3.583,2016,16/FA,MA-125,N,A,MATH.4
1307204,,2.944,0,,MA-050,NC,,MATH.4
1307204,,2.944,0,,MA-101,NC,,MATH.4
1307204,,2.944,0,,MA-109,NC,,MATH.4
1307204,,2.944,0,,MA-115,NC,,MATH.4
1307204,,2.944,2020,21/SB,MA-125,N,C,MATH.4
780993,,3.578,0,,MA-050,NC,,MATH.4
780993,,3.578,0,,MA-101,NC,,MATH.4
780993,,3.578,0,,MA-109,NC,,MATH.4
780993,,3.578,0,,MA-115,NC,,MATH.4
780993,,3.578,2010,10/FA,MA-125,N,A-,MATH.4
1226044,,3.706,0,,MA-050,NC,,MATH.4
1226044,,3.706,0,,MA-101,NC,,MATH.4
1226044,,3.706,0,,MA-109,NC,,MATH.4
1226044,,3.706,0,,MA-115,NC,,MATH.4
1226044,,3.706,2018,19/SP,MA-125,N,B-,MATH.4
1241636,CS,3.3,0,,MA-050,NC,,MATH.3
1241636,CS,3.3,0,,MA-101,NC,,MATH.3
1241636,CS,3.3,2018,18/FA,MA-109,N,A,MATH.3
1241636,CS,3.3,2019,19/FA,MA-125,N,C+,MATH.3
1293456,CS,3.23,0,,MA-050,NC,,MATH.3
1293456,CS,3.23,0,,MA-101,NC,,MATH.3
1293456,CS,3.23,2019,19/FA,MA-109,N,A,MATH.3
1293456,CS,3.23,2019,20/SP,MA-125,N,P,MATH.3
933850,,3.222,0,,MA-050,NC,,MATH.4
933850,,3.222,0,,MA-101,NC,,MATH.4
933850,,3.222,0,,MA-109,NC,,MATH.4
933850,,3.222,0,,MA-115,NC,,MATH.4
933850,,3.222,2017,17/FA,MA-125,N,A-,MATH.4
775822,,2.661,0,,MA-050,NC,,MATH.4
775822,,2.661,0,,MA-101,NC,,MATH.4
775822,,2.661,0,,MA-109,NC,,MATH.4
775822,,2.661,0,,MA-115,NC,,MATH.4
775822,,2.661,2010,10/FA,MA-125,N,D-,MATH.4
775822,,2.661,2012,12/FA,MA-125,TR,T,MATH.4
1284673,,3.788,0,,MA-050,NC,,MATH.3
1284673,,3.788,0,,MA-101,NC,,MATH.3
1284673,,3.788,2020,20/FA,MA-125,D,W,MATH.3
1327877,UN,3.06,0,,MA-050,NC,,MATH.4
1327877,UN,3.06,0,,MA-101,NC,,MATH.4
1327877,UN,3.06,0,,MA-109,NC,,MATH.4
1327877,UN,3.06,0,,MA-115,NC,,MATH.4
1327877,UN,3.06,2021,22/SP,MA-125,N,,MATH.4
1305818,SE,3.745,0,,MA-050,NC,,MATH.4
1305818,SE,3.745,0,,MA-101,NC,,MATH.4
1305818,SE,3.745,0,,MA-109,NC,,MATH.4
1305818,SE,3.745,0,,MA-115,NC,,MATH.4
1305818,SE,3.745,2020,21/SP,MA-125,N,P,MATH.4
774339,,2.627,0,,MA-050,NC,,MATH.3
774339,,2.627,0,,MA-101,NC,,MATH.3
774339,,2.627,2010,10/FA,MA-109,N,C+,MATH.3
774339,,2.627,2010,11/SP,MA-125,N,B+,MATH.3
992139,,2.482,0,,MA-050,NC,,MATH.4
992139,,2.482,0,,MA-101,NC,,MATH.4
992139,,2.482,0,,MA-109,NC,,MATH.4
992139,,2.482,0,,MA-115,NC,,MATH.4
992139,,2.482,2013,14/SP,MA-101,TR,T,MATH.4
992139,,2.482,2013,14/SP,MA-125,N,C+,MATH.4
1149417,BY,2.808,0,,MA-050,NC,,MATH.2
1149417,BY,2.808,2019,19/FA,MA-125,N,C+,MATH.2
1041059,,3.831,0,,MA-050,NC,,MATH.4
1041059,,3.831,0,,MA-101,NC,,MATH.4
1041059,,3.831,0,,MA-109,NC,,MATH.4
1041059,,3.831,0,,MA-115,NC,,MATH.4
1041059,,3.831,2016,16/FA,MA-125,N,A,MATH.4
1011078,,3.575,0,,MA-050,NC,,MATH.4
1011078,,3.575,0,,MA-101,NC,,MATH.4
1011078,,3.575,0,,MA-109,NC,,MATH.4
1011078,,3.575,0,,MA-115,NC,,MATH.4
1011078,,3.575,2014,14/FA,MA-125,N,A-,MATH.4
1304252,SE,3.52,0,,MA-050,NC,,MATH.2
1304252,SE,3.52,2020,20/FA,MA-101,N,A-,MATH.2
1304252,SE,3.52,2020,21/SP,MA-109,N,A,MATH.2
1304252,SE,3.52,2021,21/FA,MA-125,N,B,MATH.2
